Game_Id,Player_Id,Team_Id,Game_Rating,SA,GA,SV,SV_percent,TOI,PIM
26100,12482,520,0,0,0,0,.00nan,0,0
26100,30828,511,91,38,2,36,.947,3900000,0
26102,2246,519,0,0,0,0,.00nan,0,0
26102,15207,1872,0,0,0,0,.00nan,0,0
26102,19873,519,60,22,2,20,.909,3600000,0
26102,25505,1872,50,28,4,24,.857,3600000,0
26103,1494,2193,62,27,3,24,.889,3600000,0
26103,10640,520,0,0,0,0,.00nan,0,0
26103,12482,520,90,23,0,23,1000,3600000,0
26103,15358,2193,0,0,0,0,.00nan,0,0
26104,3101,514,39,22,4,18,.818,3621000,0
26104,15782,513,0,0,0,0,.00nan,0,0
26104,29898,513,57,35,5,30,.857,3621000,0
26104,32674,514,0,0,0,0,.00nan,0,0
26105,10599,1477,84,29,1,28,.966,3600000,0
26105,29280,1477,0,0,0,0,.00nan,0,0
26105,30229,523,59,35,5,30,.857,3600000,0
26105,53146,523,0,0,0,0,.00nan,0,0
26106,10629,518,77,32,3,29,.906,3600000,0
26106,20860,518,0,0,0,0,.00nan,0,0
26106,30415,524,0,0,0,0,.00nan,0,0
26106,52881,524,54,25,4,21,.840,3556000,0
26107,378,516,60,27,3,24,.889,3513000,0
26107,1320,516,0,0,0,0,.00nan,0,0
26107,12219,515,95,33,1,32,.970,3600000,0
26107,52900,515,0,0,0,0,.00nan,0,0
26379,3101,514,89,30,1,29,.967,3564000,0
26379,15686,512,0,0,0,0,.00nan,0,0
26379,17781,512,91,21,0,21,1000,3600000,0
26379,32674,514,0,0,0,0,.00nan,0,0
26381,10640,520,77,23,1,22,.957,3600000,0
26381,12482,520,0,0,0,0,.00nan,0,0
26381,15207,1872,0,0,0,0,.00nan,0,0
26381,25505,1872,71,31,3,28,.903,3594000,0
26383,378,516,0,0,0,0,.00nan,0,0
26383,1320,516,49,35,5,30,.857,3600000,0
26383,30415,524,54,19,2,17,.895,3600000,0
26383,52881,524,0,0,0,0,.00nan,0,0
26391,3101,514,92,30,1,29,.967,3900000,0
26391,30415,524,91,33,1,32,.970,3900000,0
26391,32674,514,0,0,0,0,.00nan,0,0
26391,52881,524,0,0,0,0,.00nan,0,0
26395,2246,519,47,26,4,22,.846,3600000,0
26395,15686,512,0,0,0,0,.00nan,0,0
26395,17781,512,99,21,0,21,1000,3600000,0
26395,19873,519,0,0,0,0,.00nan,0,0
26399,10640,520,72,33,3,30,.909,3546000,0
26399,12482,520,0,0,0,0,.00nan,0,0
26399,15207,1872,79,35,2,33,.943,3600000,0
26399,25505,1872,0,0,0,0,.00nan,0,0
26403,3101,514,0,0,0,0,.00nan,0,0
26403,10640,520,52,26,4,22,.846,3600000,0
26403,12482,520,0,0,0,0,.00nan,0,0
26403,32674,514,65,13,1,12,.923,3600000,0
26409,378,516,0,0,0,0,.00nan,0,0
26409,1320,516,79,24,1,23,.958,3600000,0
26409,30415,524,0,0,0,0,.00nan,0,0
26409,52881,524,80,41,3,38,.927,3541000,0
26411,2246,519,0,0,0,0,.00nan,0,0
26411,15358,2193,60,48,5,43,.896,3600000,0
26411,15946,2193,0,0,0,0,.00nan,0,0
26411,19873,519,85,37,1,36,.973,3600000,0
26413,10599,1477,100,28,0,28,1000,3900000,0
26413,15207,1872,0,0,0,0,.00nan,0,0
26413,25505,1872,97,31,0,31,1000,3900000,0
26413,29280,1477,0,0,0,0,.00nan,0,0
26417,2246,519,0,0,0,0,.00nan,0,0
26417,15207,1872,0,0,0,0,.00nan,0,0
26417,19873,519,80,20,1,19,.950,3600000,0
26417,25505,1872,95,41,2,39,.951,3544000,0
26419,15358,2193,73,25,2,23,.920,3600000,0
26419,15946,2193,0,0,0,0,.00nan,0,0
26419,30415,524,21,32,7,25,.781,2789000,0
26419,52881,524,63,10,0,10,1000,811000,0
26421,10599,1477,61,31,3,28,.903,3586000,0
26421,29280,1477,0,0,0,0,.00nan,0,0
26421,30229,523,65,28,2,26,.929,3600000,0
26421,53146,523,0,0,0,0,.00nan,0,0
26423,1259,511,0,0,0,0,.00nan,0,0
26423,4056,513,0,0,0,0,.00nan,0,0
26423,15782,513,60,35,4,31,.886,3600000,0
26423,30828,511,74,23,1,22,.957,3600000,0
26425,3101,514,51,13,2,11,.846,3600000,0
26425,15686,512,0,0,0,0,.00nan,0,0
26425,17781,512,85,48,4,44,.917,3584000,0
26425,32674,514,0,0,0,0,.00nan,0,0
26427,378,516,72,30,3,27,.900,3600000,0
26427,1320,516,0,0,0,0,.00nan,0,0
26427,10629,518,94,25,0,25,1000,3600000,0
26427,20860,518,0,0,0,0,.00nan,0,0
26429,7146,515,0,0,0,0,.00nan,0,0
26429,10640,520,38,25,4,21,.840,2010000,0
26429,12482,520,63,18,1,17,.944,1590000,0
26429,52900,515,90,27,1,26,.963,3600000,0
26431,10629,518,0,0,0,0,.00nan,0,0
26431,15358,2193,0,0,0,0,.00nan,0,0
26431,15946,2193,73,34,3,31,.912,3900000,0
26431,20860,518,56,22,3,19,.864,3900000,0
26433,4056,513,73,27,2,25,.926,3900000,0
26433,15207,1872,62,29,2,27,.931,3900000,0
26433,15782,513,0,0,0,0,.00nan,0,0
26433,25505,1872,0,0,0,0,.00nan,0,0
26435,7146,515,21,25,6,19,.760,3600000,0
26435,30415,524,0,0,0,0,.00nan,0,0
26435,52881,524,99,40,1,39,.975,3600000,0
26435,52900,515,0,0,0,0,.00nan,0,0
26437,2246,519,44,31,5,26,.839,2122000,0
26437,15686,512,43,26,5,21,.808,3600000,0
26437,17781,512,0,0,0,0,.00nan,0,0
26437,19873,519,48,13,2,11,.846,1402000,0
26439,10640,520,76,24,1,23,.958,3600000,0
26439,12482,520,0,0,0,0,.00nan,0,0
26439,30229,523,0,0,0,0,.00nan,0,0
26439,53146,523,72,35,3,32,.914,3598000,0
26441,1259,511,0,0,0,0,.00nan,0,0
26441,10599,1477,0,0,0,0,.00nan,0,0
26441,29280,1477,89,54,4,50,.926,3600000,0
26441,30828,511,38,28,5,23,.821,3553000,0
26443,378,516,0,0,0,0,.00nan,0,0
26443,1320,516,84,43,3,40,.930,3600000,0
26443,3101,514,0,0,0,0,.00nan,0,0
26443,32674,514,16,21,6,15,.714,3600000,0
26445,2246,519,0,0,0,0,.00nan,0,0
26445,15686,512,0,0,0,0,.00nan,0,0
26445,17781,512,76,24,2,22,.917,3600000,0
26445,19873,519,58,38,5,33,.868,3600000,0
26447,3101,514,46,22,4,18,.818,3586000,0
26447,30229,523,94,36,2,34,.944,3600000,0
26447,32674,514,0,0,0,0,.00nan,0,0
26447,53146,523,0,0,0,0,.00nan,0,0
26449,10640,520,56,16,2,14,.875,3585000,0
26449,12482,520,0,0,0,0,.00nan,0,0
26449,30415,524,100,36,0,36,1000,3600000,0
26449,52881,524,0,0,0,0,.00nan,0,0
26451,378,516,0,0,0,0,.00nan,0,0
26451,1320,516,48,20,3,17,.850,3564000,0
26451,15207,1872,0,0,0,0,.00nan,0,0
26451,25505,1872,69,21,2,19,.905,3600000,0
26453,15358,2193,71,16,1,15,.938,3600000,0
26453,15946,2193,0,0,0,0,.00nan,0,0
26453,30453,515,0,0,0,0,.00nan,0,0
26453,52900,515,67,25,2,23,.920,3548000,0
26455,1259,511,0,0,0,0,.00nan,0,0
26455,10599,1477,0,0,0,0,.00nan,0,0
26455,29280,1477,56,35,4,31,.886,3600000,0
26455,30828,511,81,22,1,21,.955,3600000,0
26457,4056,513,0,0,0,0,.00nan,0,0
26457,10629,518,82,34,2,32,.941,3600000,0
26457,15782,513,96,49,4,45,.918,3545000,0
26457,20860,518,0,0,0,0,.00nan,0,0
26459,378,516,68,31,2,29,.935,3565000,0
26459,1320,516,0,0,0,0,.00nan,0,0
26459,2246,519,79,26,1,25,.962,3600000,0
26459,19873,519,0,0,0,0,.00nan,0,0
26461,15358,2193,0,0,0,0,.00nan,0,0
26461,15946,2193,87,35,2,33,.943,3577000,0
26461,30453,515,100,36,0,36,1000,3600000,0
26461,52900,515,0,0,0,0,.00nan,0,0
26463,30229,523,0,0,0,0,.00nan,0,0
26463,30415,524,68,22,1,21,.955,3600000,0
26463,52881,524,0,0,0,0,.00nan,0,0
26463,53146,523,82,36,2,34,.944,3569000,0
26465,4056,513,67,18,1,17,.944,3600000,0
26465,15207,1872,76,47,4,43,.915,3600000,0
26465,15782,513,0,0,0,0,.00nan,0,0
26465,25505,1872,0,0,0,0,.00nan,0,0
26467,10629,518,0,0,0,0,.00nan,0,0
26467,10640,520,0,0,0,0,.00nan,0,0
26467,12482,520,91,33,1,32,.970,3600000,0
26467,20860,518,63,25,2,23,.920,3600000,0
26469,1259,511,0,0,0,0,.00nan,0,0
26469,3101,514,0,0,0,0,.00nan,0,0
26469,30828,511,100,42,1,41,.976,3900000,0
26469,32674,514,96,30,1,29,.967,3900000,0
26471,10599,1477,100,30,0,30,1000,3634000,0
26471,15686,512,78,21,1,20,.952,3634000,0
26471,17781,512,0,0,0,0,.00nan,0,0
26471,29280,1477,0,0,0,0,.00nan,0,0
26472,2081,631,0,0,0,0,.00nan,0,0
26472,9614,631,62,31,5,26,.839,3515000,0
26472,12002,625,0,0,0,0,.00nan,0,0
26472,26255,625,78,32,3,29,.906,3600000,0
26473,2040,646,0,0,0,0,.00nan,0,0
26473,4401,635,70,39,5,34,.872,3600000,0
26473,10141,635,0,0,0,0,.00nan,0,0
26473,13135,646,73,20,1,19,.950,3600000,0
26474,3122,636,85,47,3,44,.936,3548000,0
26474,8507,636,0,0,0,0,.00nan,0,0
26474,9551,627,0,0,0,0,.00nan,0,0
26474,41088,627,76,24,1,23,.958,3600000,0
26475,8348,634,0,0,0,0,.00nan,0,0
26475,10184,651,61,44,5,39,.886,3600000,0
26475,13123,634,85,39,2,37,.949,3600000,0
26475,68648,651,0,0,0,0,.00nan,0,0
26476,5109,1838,98,37,1,36,.973,3600000,0
26476,12059,1838,0,0,0,0,.00nan,0,0
26476,13896,642,0,0,0,0,.00nan,0,0
26476,40902,642,45,35,5,30,.857,3600000,0
26477,17623,628,83,26,1,25,.962,3600000,0
26477,21503,632,89,41,2,39,.951,3582000,0
26477,41085,632,0,0,0,0,.00nan,0,0
26477,41363,628,0,0,0,0,.00nan,0,0
26478,8409,626,0,0,0,0,.00nan,0,0
26478,10935,626,98,50,2,48,.960,3570000,0
26478,15103,633,0,0,0,0,.00nan,0,0
26478,21986,633,71,22,1,21,.955,3600000,0
26479,3831,629,0,0,0,0,.00nan,0,0
26479,8348,634,0,0,0,0,.00nan,0,0
26479,10436,629,58,42,5,37,.881,3571000,0
26479,13123,634,37,17,4,13,.765,3600000,0
26480,5109,1838,57,25,3,22,.880,3600000,0
26480,8409,626,0,0,0,0,.00nan,0,0
26480,10935,626,75,45,5,40,.889,3571000,0
26480,12059,1838,0,0,0,0,.00nan,0,0
26481,2081,631,0,0,0,0,.00nan,0,0
26481,9614,631,63,28,3,25,.893,3543000,0
26481,15103,633,0,0,0,0,.00nan,0,0
26481,21986,633,86,37,2,35,.946,3600000,0
26482,12002,625,0,0,0,0,.00nan,0,0
26482,17623,628,79,52,5,47,.904,3563000,0
26482,26255,625,62,26,3,23,.885,3600000,0
26482,41363,628,0,0,0,0,.00nan,0,0
26483,10184,651,62,34,4,30,.882,3590000,0
26483,21503,632,100,54,2,52,.963,3600000,0
26483,41085,632,0,0,0,0,.00nan,0,0
26483,68648,651,0,0,0,0,.00nan,0,0
26484,9551,627,57,29,3,26,.897,3600000,0
26484,13896,642,81,43,4,39,.907,3569000,0
26484,40902,642,0,0,0,0,.00nan,0,0
26484,41088,627,0,0,0,0,.00nan,0,0
26485,3122,636,86,37,2,35,.946,3900000,0
26485,4401,635,84,30,2,28,.933,3900000,0
26485,8507,636,0,0,0,0,.00nan,0,0
26485,10141,635,0,0,0,0,.00nan,0,0
26486,9551,627,0,0,0,0,.00nan,0,0
26486,12002,625,0,0,0,0,.00nan,0,0
26486,26255,625,83,28,2,26,.929,3600000,0
26486,41088,627,67,37,4,33,.892,3600000,0
26487,8348,634,0,0,0,0,.00nan,0,0
26487,13123,634,55,41,6,35,.854,3600000,0
26487,21503,632,63,15,1,14,.933,3600000,0
26487,41085,632,0,0,0,0,.00nan,0,0
26488,2081,631,0,0,0,0,.00nan,0,0
26488,3122,636,71,36,4,32,.889,3541000,0
26488,8507,636,0,0,0,0,.00nan,0,0
26488,9614,631,56,25,3,22,.880,3600000,0
26489,4401,635,66,39,5,34,.872,3600000,0
26489,13896,642,73,34,3,31,.912,3600000,0
26489,40902,642,0,0,0,0,.00nan,0,0
26489,43012,635,0,0,0,0,.00nan,0,0
26490,3831,629,0,0,0,0,.00nan,0,0
26490,10436,629,59,26,3,23,.885,3600000,0
26490,15103,633,0,0,0,0,.00nan,0,0
26490,21986,633,78,26,2,24,.923,3600000,0
26491,10184,651,48,37,6,31,.838,3560000,0
26491,17623,628,62,36,4,32,.889,3600000,0
26491,41363,628,0,0,0,0,.00nan,0,0
26491,68648,651,0,0,0,0,.00nan,0,0
26492,2040,646,79,27,2,25,.926,3900000,0
26492,8409,626,0,0,0,0,.00nan,0,0
26492,10935,626,73,28,2,26,.929,3890000,0
26492,13135,646,0,0,0,0,.00nan,0,0
26493,2040,646,52,26,4,22,.846,3600000,0
26493,2081,631,21,25,6,19,.760,3251000,0
26493,9614,631,51,2,0,2,1000,265000,0
26493,13135,646,0,0,0,0,.00nan,0,0
26494,3831,629,0,0,0,0,.00nan,0,0
26494,10436,629,100,44,1,43,.977,3600000,0
26494,17623,628,42,22,4,18,.818,3600000,0
26494,41363,628,0,0,0,0,.00nan,0,0
26495,3122,636,50,34,4,30,.882,3563000,0
26495,8409,626,0,0,0,0,.00nan,0,0
26495,8507,636,0,0,0,0,.00nan,0,0
26495,10935,626,64,23,2,21,.913,3600000,0
26496,13896,642,0,0,0,0,.00nan,0,0
26496,15103,633,39,20,4,16,.800,3600000,0
26496,21986,633,0,0,0,0,.00nan,0,0
26496,40902,642,44,33,5,28,.848,3574000,0
